type,fhs_bw,vts_bw,fhsdt,fhsdc,fhspp,file_size,snr,center_freq
DAUTEL EVO NANO,4.0,20.0,4.0,29.53,,29.53,23,5.77
FUTABA T14SG,32.0,,2.3,30.1,164.1,53.83,33,2.44
DEVENTION DEVO,3.0,,1.0,3.0,30.0,23.29,23,2.44
Herelink HX4,2.96,19.136,0.52,5.16,10.09,19.03,16,2.42
DJI FPV COMBO,5.0,10.0,0.64,4.0,38.3,124.61,41,5.76
JR PROPO XG7,8.402,,2.17,12.84,338.67,16.07,37,2.44
DJI AVATA2,7.0,10.0,0.41,2.0,20.6,99.36,10,5.77
JUMPER T14,8.09,,10.73,20.14,480.0,18.66,47,2.44
DJI MAVIC3 PRO,4.78,10.0,1.7,6.0,60.0,57.49,17,5.8
JUMPER TProV2,4.59,,6.75,8.99,35.96,18.53,32,2.44
DJI MINI3,3.5,10.0,0.56,5.96,40.01,127.71,43,2.47
PARROT,18.36,20.01,0.8,21.5,21.5,23.68,19,5.75
DJI AIR3S,6.54,10.0,0.404,2.5,24.048,47.4,17,2.45
DJI MINI4 PRO,6.54,10.0,0.404,2.5,24.048,47.4,17,2.45
RadioMaster BOXER,6.95,,6.84,18.8,422.8,18.18,48,2.44
FLYSKY EL 18,3.0,,0.443,4.05,60.0,30.8,30,2.44
RadioMaster TX16S,4.59,,9.3,19.96,,15.71,38,2.44
FLYSKY FS I6X,3.0,,1.32,3.82,61.0,28.85,18,2.44
Radiolink AT9S Pro,2.9,,8.71,24.0,,19.43,36,2.44
FLYSKY NV 14,3.0,,1.32,7.68,61.2,23.78,33,2.44
Radiolink AT10 II,3.125,,8.81,24.0,,23.58,33,2.44
FRSKY X9DP2019,6.15,,4.26,9.0,200.0,24.4,46,2.44
SIYI FT24,4.59,,1.61,12.09,50.05,25.94,31,2.44
FRSKY X14,6.14,,4.25,9.04,26.97,19.11,46,2.44
SIYI MK15,3.32,,1.55,4.985,,56.72,41,2.44
FRSKY X20R,6.16,,4.27,7.11,81.0,19.07,29,2.44
SIYI MK32,7.23,,0.47,5.01,,63.98,41,2.44
FUTABA T10J,4.8,,1.51,15.07,466.3,33.7,37,2.44
SKYDROID H12,6.06,,0.25,2.969,14.381,27.38,31,2.47
FUTABA T16IZ,6.73,,1.44,15.07,330.1,42.49,31,2.44
SKYDROID T10,5.273,,0.27,2.911,14.722,42.13,29,2.47
FUTABA T18SZ,5.664,,1.45,14.99,330.0,38.31,38,2.44
WFLY ET10,4.88,,0.745,14.3,,35.32,31,2.44
WFLY ET16S,35.12,,0.752,3.599,14.5,24.76,31,2.44
WFLY WFT09SII,4.882,,3.13,1.86,6.81,29.88,31,2.41
YunZhuo H12,4.68,,2.58,3.0,15.3,23.1,29,2.46
YunZhuo H16,10.05,20.0,1.05,5.09,10.19,45.75,22,2.46
YunZhuo H30,4.5,,1.36,5.0,5.0,32.14,22,2.44
DJI AIR3S,37.4,37.4,,12.0,,,28,2.453
DJI AIR3S,37.8,37.8,,12.0,,,20,5.217
DJI AIR3S,39.7,39.7,,12.0,,,20,5.758
